ID,created,name,group
164,2025-02-05 17:43:00,Herança e Polimorfismo em Java,JavaKotlin
165,2025-02-05 17:56:00,Dominando Interfaces e Lambda em Java,JavaKotlin
166,2025-05-06 11:19:00,Criando um Jogo do Sudoku em Java,JavaKotlin
167,2025-05-06 13:38:00,Programação Orientada a Objetos,JavaKotlin
168,2025-05-06 14:48:00,JDBC: Explorando Persistência de Dados com Java,JavaKotlin
169,2025-05-06 15:44:00,Criando seu Board de Tarefas com Java,JavaKotlin
170,2025-05-18 00:34:00,Bradesco - Java Cloud Native,JavaKotlin
171,2022-05-09 21:12:00,"Variáveis, Tipos de Dados e Operadores Matemáticos em Java",JavaKotlin
172,2022-05-10 06:40:00,Dominando IDEs Java,JavaKotlin
173,2022-05-10 08:54:00,Introdução ao Ecossistema e Documentação Java,JavaKotlin
174,2022-05-10 09:18:00,Lógica Condicional e Controle de Fluxos em Java,JavaKotlin
175,2022-05-14 06:36:00,Entendendo Métodos Java,JavaKotlin
176,2022-05-16 08:37:00,Estruturas de Repetição e Arrays em Java,JavaKotlin
177,2022-05-17 22:27:00,Debugging Java,JavaKotlin
178,2022-05-19 03:01:00,Introdução ao framework Spring Boot,JavaKotlin
179,2022-05-22 06:13:00,Tratamento de Exceções em Java,JavaKotlin
180,2022-05-22 07:39:00,Simplificando Projetos Java com o Spring Boot,JavaKotlin
181,2022-05-22 13:08:00,Imersão no Spring Framework com Spring Boot,JavaKotlin
182,2022-05-23 23:15:00,Conhecendo Spring Data JPA na prática com Java,JavaKotlin
183,2022-06-20 18:19:00,Módulo VI - JAVA,JavaKotlin
184,2022-06-20 21:06:00,Estruturas de Dados em Java: Principais Implementações,JavaKotlin
185,2022-06-23 07:29:00,Módulo 0 - Prepare-se para a Jornada,JavaKotlin
186,2022-06-23 14:21:00,Módulo IV - JAVA,JavaKotlin
187,2022-06-23 14:21:00,Criando um Banco Digital com Java e Orientação a Objetos,JavaKotlin
188,2022-07-21 09:44:00,Trabalhando com Collections Java,JavaKotlin
189,2022-07-21 10:14:00,JPA com Hibernate,JavaKotlin
190,2022-07-24 05:19:00,Testes Unitários Com JUnit,JavaKotlin
191,2022-07-24 05:43:00,Adicionando Segurança a uma API REST com Spring Security,JavaKotlin
192,2022-07-24 23:57:00,Design Patterns com Java: Dos Clássicos (GoF) ao Spring Framework,JavaKotlin
193,2023-08-15 19:13:00,Fundamentos da Programação Orientada a Objetos com Java,JavaKotlin
194,2023-08-15 21:42:00,Pilares da Programação Orientada a Objetos em Java,JavaKotlin
195,2023-08-16 02:19:00,Criando uma API REST Documentada com Spring Web e Swagger,JavaKotlin
196,2023-08-21 10:17:00,Ganhando Produtividade com Stream API,JavaKotlin
197,2023-08-22 21:56:00,Orientação a Objetos e APIs Java,JavaKotlin
198,2023-08-22 22:34:00,Gerenciamento de Dependências e Build em Java com Maven,JavaKotlin
199,2023-08-22 22:34:00,Ganhando Produtividade com Spring Boot,JavaKotlin
200,2023-08-23 06:39:00,Desenvolvimento Java com Cloud AWS,JavaKotlin
201,2023-08-23 07:12:00,Conhecendo o Kotlin e Sua Documentação Oficial,JavaKotlin
202,2023-08-24 06:40:00,Introdução Prática à Linguagem de Programação Kotlin,JavaKotlin
203,2023-08-24 07:56:00,Estruturas de Controle de Fluxo e Coleções em Kotlin,JavaKotlin
204,2023-08-24 09:07:00,Orientação a Objetos e Tipos de Classes na Prática com Kotlin,JavaKotlin
205,2023-08-25 04:18:00,O Poder das Funções em Kotlin,JavaKotlin
206,2023-08-25 17:50:00,Tratamento de Exceções em Kotlin,JavaKotlin
207,2023-08-25 17:58:00,Contextualizando o Desenvolvimento Web com Spring Boot 3,JavaKotlin
208,2023-08-25 21:14:00,Criando uma Api Rest com Kotlin e Persistência de Dados,JavaKotlin
209,2023-08-26 01:17:00,Documentando e Testando sua API Rest com Kotlin,JavaKotlin
210,2023-08-26 01:17:00,Modernizando seu Backend com Kotlin e Spring Boot,JavaKotlin
211,2023-08-27 01:34:00,Abstraindo Formações da DIO Usando Orientação a Objetos com Kotlin,JavaKotlin
212,2023-08-27 01:34:00,Desmitificando Kotlin para Programadores Java,JavaKotlin
213,2023-08-27 01:34:00,Conhecendo a Linguagem de Programação Kotlin,JavaKotlin
214,2023-08-27 06:59:00,Explorando Padrões de Projetos Na Prática com Kotlin,JavaKotlin
215,2023-08-27 13:11:00,"Arquitetura Orientada a Eventos com Java, Spring Boot e Kafka",JavaKotlin
216,2023-08-27 13:11:00,Ganhando Produtividade com Java e Spring Boot,JavaKotlin
217,2023-08-28 21:17:00,Noções Básicas de Rede em Apps Android com Kotlin,JavaKotlin
218,2023-08-29 21:31:00,Armazenamento de Dados Essencial em Apps Android com Kotlin,JavaKotlin
219,2023-08-30 10:27:00,Introdução ao Desenvolvimento Mobile com Kotlin,JavaKotlin
220,2023-08-31 17:32:00,Criando um Aplicativo Kotlin para acompanhar a Copa,JavaKotlin
221,2023-08-31 17:33:00,Santander Bootcamp 2023 -  Mobile Android com Kotlin,JavaKotlin
222,2023-09-01 17:50:00,Code Update TQI - Backend com Kotlin e Java,JavaKotlin
223,2023-09-13 16:07:00,Desenvolvimento básico em Java,JavaKotlin
224,2023-09-17 14:05:00,Implementando Collections e Streams com Java,JavaKotlin
225,2025-07-29 11:00:00,Estruturas de Controle em Java,JavaKotlin
226,2025-07-29 11:40:00,Sintaxe Básica de Java,JavaKotlin
227,2025-07-30 19:03:00,Praticando com Collections e Outras Classes Úteis do Java,JavaKotlin
228,2025-07-30 19:03:00,Programação Orientada a Objetos e Estruturas de Dados com Java,JavaKotlin
229,2025-08-01 08:45:00,Debugging e o Tratamento de Exceções em Java,JavaKotlin
230,2025-08-01 08:58:00,Simplificando I/O de Arquivos e Diretórios com Java,JavaKotlin
231,2025-08-01 09:03:00,Gerenciando Dependências com Maven e Gradle,JavaKotlin
232,2025-08-01 09:03:00,"Gerenciando Exceções, IO e Dependências em Java",JavaKotlin
233,2025-08-01 10:27:00,Coleções e Stream em Java,JavaKotlin
234,2024-02-19 11:29:00,Preparando seu Ambiente de Desenvolvimento Kotlin com IntelliJ,JavaKotlin
235,2024-02-19 11:29:00,Kotlin no Backend com Spring Boot 3,JavaKotlin
236,2024-07-28 15:37:00,Introdução à Plataforma Java,JavaKotlin
237,2024-07-28 15:42:00,Ambiente de Desenvolvimento Java,JavaKotlin
238,2024-09-05 04:12:00,Introdução ao Ambiente Java e Projetos Colaborativos,JavaKotlin
239,2024-11-13 09:38:00,Aprendendo a Sintaxe Java,JavaKotlin
240,2024-11-13 14:31:00,Estruturas de Repetição em Java,JavaKotlin
241,2024-11-13 14:36:00,Introdução e Estruturas Condicionais com Java,JavaKotlin
242,2024-11-13 14:41:00,Java e Tratamento de Exceções,JavaKotlin
243,2024-11-13 22:11:00,Sintaxe Básica com Java,JavaKotlin
244,2024-11-14 16:42:00,Programação Orientada a Objetos com Java,JavaKotlin
245,2024-11-14 16:42:00,Abstraindo um Bootcamp Usando Orientação a Objetos em Java,JavaKotlin
246,2024-11-14 17:05:00,Testes e Gerenciamento de Dependências em Projetos Java,JavaKotlin
247,2024-11-16 15:22:00,Ganhando Produtividade no Java com Spring Framework,JavaKotlin
248,2024-11-16 15:22:00,"Publicando Sua API REST na Nuvem Usando Spring Boot 3, Java 17 e Railway",JavaKotlin
249,2024-11-16 15:24:00,Arquiteturas Escaláveis com Java na AWS,JavaKotlin
250,2024-11-16 15:29:00,Claro - Java com Spring Boot,JavaKotlin
251,2025-07-19 12:19:00,Introdução a Experiência TONNIE - Java and AI in Europe,JavaKotlin
252,2025-07-29 10:45:00,Introdução ao Java e seu Ambiente de Desenvolvimento,JavaKotlin
253,2025-07-29 10:45:00,Princípios de Desenvolvimento De Aplicações Java,JavaKotlin
254,2025-07-29 10:50:00,Fundamentos da Linguagem de Programação Java,JavaKotlin
255,2025-08-01 18:02:00,Trabalhando com Design Patterns em Aplicações Java,JavaKotlin
256,2025-08-01 18:08:00,SOLID e Clean Code em Java: Escrevendo Código de Alta Qualidade,JavaKotlin
257,2025-08-01 18:13:00,Annotations em Java: Marcando o Seu Código de Maneira Inteligente,JavaKotlin
258,2025-08-02 14:34:00,TONNIE - Java and AI in Europe,JavaKotlin
259,2022-04-18 08:35:00,Mapas e Conjuntos com JavaScript,JavaScriptTypeScript
260,2022-04-18 09:08:00,Debugging e Error Handling com JavaScript,JavaScriptTypeScript
261,2022-04-18 09:30:00,Fundamentos de JavaScript Assíncrono,JavaScriptTypeScript
262,2022-04-20 21:01:00,Manipulando a D.O.M. com JavaScript,JavaScriptTypeScript
263,2022-04-22 22:54:00,"Map, Filter e Reduce",JavaScriptTypeScript
264,2022-04-22 23:12:00,Orientação a Objetos com JavaScript,JavaScriptTypeScript
265,2022-04-22 23:17:00,Resolvendo Desafios de Código em Javascript,JavaScriptTypeScript
266,2022-05-27 05:46:00,Introdução ao JavaScript,JavaScriptTypeScript
267,2022-05-27 09:55:00,Sintaxe Básica em JavaScript,JavaScriptTypeScript
268,2022-05-29 03:35:00,Dominando Funções em JavaScript,JavaScriptTypeScript
269,2022-05-29 03:49:00,Sintaxe e Operadores JavaScript,JavaScriptTypeScript
270,2022-05-29 04:01:00,Variáveis e Tipos com JavaScript,JavaScriptTypeScript
271,2022-06-15 14:21:00,Trabalhando com Módulos em JavaScript,JavaScriptTypeScript
272,2023-09-25 14:02:00,Primeiros Passos Com JavaScript,JavaScriptTypeScript
273,2023-09-26 12:15:00,Conhecendo Funções JavaScript,JavaScriptTypeScript
274,2023-09-26 12:19:00,Criando Objetos e Classes em JavaScript,JavaScriptTypeScript
275,2023-09-26 12:24:00,Arrays e Estruturas de Repetição em JavaScript,JavaScriptTypeScript
276,2023-09-26 12:33:00,Importação e Exportação com JavaScript,JavaScriptTypeScript
277,2023-09-26 14:10:00,Deixando suas Páginas Web Dinâmicas com JavaScript,JavaScriptTypeScript
278,2023-09-26 14:50:00,"Aprendendo Variáveis, Escopo e Tipos de dados no JavaScript",JavaScriptTypeScript
279,2023-09-26 14:55:00,Orientação a Protótipo com JavaScript,JavaScriptTypeScript
280,2023-09-26 14:59:00,Funções e Manipulação de Listas com JavaScript,JavaScriptTypeScript
281,2023-09-27 09:12:00,Promises e Assincronismo com JavaScript,JavaScriptTypeScript
282,2023-09-27 09:12:00,Avançando no JavaScript com Assíncronismo,JavaScriptTypeScript
283,2023-09-27 10:07:00,Criando um Jogo do Detona Ralph com JavaScript,JavaScriptTypeScript
284,2023-09-27 10:22:00,Criando um Jogo da memória com Emojis Utilizando Javascript,JavaScriptTypeScript
285,2023-09-27 10:30:00,Construindo um Simulador de Piano com JavaScript e CSS,JavaScriptTypeScript
286,2022-07-24 05:57:00,Metodologias Ágeis e Ciclo de Desenvolvimento de Software,Metodologias
287,2023-08-24 16:55:00,Trabalhando em Equipes Ágeis,Metodologias
288,2023-09-18 10:55:00,Projetos ágeis com SCRUM,Metodologias
289,2023-09-29 15:52:00,Princípios de Desenvolvimento Ágil e Colaborativo,Metodologias
290,2023-12-18 19:46:00,Princípios de Agilidade e Desenvolvimento Colaborativo,Metodologias
291,2024-07-21 09:39:00,Soft Skills na Era Ágil: Conectando Pessoas e Oportunidades,Metodologias
292,2024-11-18 12:13:00,"Desenhando uma Sprint na Prática, do Épico ao Entregável",Metodologias
293,2024-11-18 12:13:00,Metodologia Ágil,Metodologias
294,2023-08-27 14:16:00,Instalando e Configurando o Android Studio,Mobile
295,2023-08-27 16:18:00,Visão Geral do Mercado de Desenvolvimento Mobile,Mobile
296,2023-08-27 19:22:00,Entendendo a Estrutura e Depurando Apps Android,Mobile
297,2023-08-28 05:40:00,Princípios de Interface de Usuário e Layouts Android,Mobile
298,2023-08-28 06:19:00,Manipulando Entradas do Usuário em Apps Android,Mobile
299,2023-08-28 13:59:00,Fundamentos de Multiscreen em Apps Android,Mobile
300,2023-08-30 14:51:00,Visão Geral Sobre o Android Jetpack,Mobile
301,2023-08-30 14:57:00,Explorando Componentes do Material Design em Apps Android,Mobile
302,2023-08-30 19:18:00,Gerenciando o Fluxo de Navegação de Apps Android,Mobile
303,2023-08-30 20:25:00,"Ciclo de Vida Android ViewModel, LiveData e Coroutines",Mobile
304,2023-08-30 20:34:00,Injeção de Dependências no Android com Hilt,Mobile
305,2023-08-30 21:19:00,Simplificando a Persistência de Dados no Android com Room,Mobile
306,2023-08-30 21:29:00,Interfaces de Usuário Dinâmicas no Android com Jetpack Compose,Mobile
307,2023-08-31 07:10:00,Programação em Segundo Plano no Android com WorkManager,Mobile
308,2023-08-31 17:32:00,Ganhando Produtividade com o Android Jetpack,Mobile
309,2022-07-24 05:50:00,Introdução a Testes de Software,QA
310,2022-07-24 06:06:00,Fundamentos de Qualidade de Software,QA
311,2022-07-24 23:54:00,Desenvolvimento de Testes Unitários para Validar uma API REST de Gerenciamento Estoques de Cerveja,QA
312,2023-08-21 14:44:00,Criando Testes Unitários com IA Generativa,QA
313,2023-10-02 23:23:00,Testes Unitários com C#,QA
314,2023-10-03 00:21:00,Implementando Validações de Testes Unitários com C#,QA
315,2023-10-03 21:06:00,Configuração da Suíte de Testes e Aplicando Testes Integrados em .NET,QA
316,2023-10-05 21:43:00,Trabalhando com Desenvolvimento Orientado a Testes,QA
317,2023-10-05 21:43:00,Blindando Seu Código com TDD e Testes Unitários Usando .NET Core,QA
318,2023-10-06 07:04:00,Introdução ao Mercado de Qualidade de Software,QA
